Sequence Number,Channel1,Channel2,Channel3
13300,11356,34560,32580
13350,44680,32832,39192
13400,37504,33440,37696
13450,41400,33148,26620
13500,63800,32928,30552
13550,35304,32126,35556
13600,27544,32378,33096
13650,26728,31893,30992
13700,30189,33560,33388
13750,19640,32220,33536
13800,20724,32751,33184
13850,30524,32554,32648
13900,47556,32812,31892
13950,28768,32880,34365
14000,33160,32354,33494
14050,46224,32364,31556
14100,45384,32486,33152
14150,23722,33476,31796
14200,30388,32692,31998
14250,33528,33330,30705
14300,24456,32677,33456
14350,32500,33408,30824
14400,30488,31976,33496
14450,36244,33380,32108
14500,32688,33840,33992
14550,29060,33540,32860
14600,32074,33220,33271
14650,34236,33008,32756
14700,31336,31278,33514
14750,31869,31842,33198
14800,33040,32902,33040
14850,33208,33430,32252
14900,32940,32844,32538
14950,32812,32836,32998
15000,32837,31528,33153
15050,32864,32330,32824
15100,32036,32476,33169
15150,32725,32756,32884
15200,32960,32812,32574
15250,32496,32588,32432
15300,32932,32752,32729
15350,32988,32841,32532
15400,32541,32664,33440
15450,32812,33384,31912
15500,33388,32797,32461
15550,32740,33078,32940
15600,32804,32448,33030
15650,32960,32241,32909
15700,32736,32732,33500
15750,33700,32996,33000
15800,32553,33200,32492
15850,31488,32540,33508
15900,32552,32674,32680
15950,32696,32928,33018
16000,33072,32900,33802
16050,33322,32440,32312
16100,32764,33190,33058
16150,31936,33051,33290
16200,32112,32816,32556
16250,32892,32680,32362
16300,32466,33030,32124
16350,32728,32288,32608
16400,32133,32455,32684
16450,32398,32769,32604
16500,32202,32865,32320
16550,34952,32908,33488
16600,33204,32997,32325
16650,33512,33342,33156
16700,35864,31524,32624
16750,33268,33161,32549
16800,33280,32812,31760
16850,31780,32503,31716
16900,32404,31844,32428
16950,35056,32756,31612
17000,32532,32487,33360
17050,32576,33944,32870
17100,31256,33900,32132
17150,31972,32832,32400
17200,33020,32732,32832
17250,31480,32775,32191
17300,31896,33256,31921
17350,30412,32741,32012
17400,32324,32252,32046
17450,29588,33406,33333
17500,25396,33316,32096
17550,48188,33496,32708
17600,38996,33476,29969
17650,16768,35474,33476
17700,35224,32880,33908
17750,34008,30262,34292
17800,25452,33320,36472
17850,8860,33312,32908
17900,44992,33280,30132
17950,35304,32840,30756
18000,41248,33152,33800
18050,30188,31392,33312
18100,40100,33556,34092
18150,34104,33440,32988
18200,31036,32824,34280
18250,38216,28644,32112
18300,28408,32501,37852
18350,11277,30420,32428
18400,42965,32432,32044
18450,28840,33696,27902
18500,18413,34636,31788
18550,19564,33384,30480
18600,30528,32804,30354
18650,24914,32936,33372
18700,21736,31864,30596
18750,30348,32012,29400
18800,27156,31812,31304
18850,30112,33972,30845
18900,39216,33044,36893
18950,35558,33102,31820
19000,27528,32500,36576
19050,54456,31988,32532
19100,43152,32540,32854
19150,36412,30564,33204
19200,13720,32364,31480
19250,31041,34192,34644
19300,36580,33117,35260
19350,9000,32736,35094
19400,16796,33250,36908
19450,31144,32644,32714
19500,22240,33488,32741
19550,24588,34544,33692
19600,40512,32868,30632
19650,29488,34544,32332
19700,33156,34054,29720
19750,31336,31836,33432
19800,36096,32248,31581
19850,22508,32858,34064
19900,31956,33568,32792
19950,27112,32452,30078
20000,39480,32744,30636
20050,40644,33720,32540
20100,41952,32726,33554
20150,35840,32760,33332
20200,29902,32358,32485
20250,32720,32932,33464
20300,30284,33980,32690
20350,31928,31748,32516
20400,32858,33124,34596
20450,37240,32616,33708
20500,32860,32986,32682
20550,31324,32902,33282
20600,32804,33560,33052
20650,32848,32764,32889
20700,33756,33076,33302
20750,32540,32368,33218
20800,32924,33380,32580
20850,33220,33036,32372
20900,32812,32859,32300
20950,32932,32572,32513
21000,32960,32989,33452
21050,32784,32775,33158
21100,32188,33040,31972
21150,32620,32752,31276
21200,32318,33372,33502
21250,32372,32889,32808
21300,32580,32484,32562
21350,32704,32129,32372
21400,32812,31766,33848
21450,31552,32768,33618
21500,32800,32462,32820
21550,33570,32725,32597
