Sequence Number,Channel1,Channel2,Channel3
0,34228,32822,32456
50,27608,32854,34036
100,34812,32304,32401
150,32272,32852,32696
200,33812,32709,34600
250,30520,32772,31226
300,33812,32784,33053
350,32002,32750,31104
400,34644,32944,32152
450,34852,33049,32960
500,34400,33020,34470
550,33450,32812,32228
600,32612,32328,35074
650,34496,33092,32073
700,33700,33581,32576
750,33308,32424,32904
800,28672,33448,34360
850,32388,32622,31264
900,34404,32952,33509
950,34472,32774,29360
1000,32841,31452,32956
1050,24777,33025,33584
1100,32908,31984,30663
1150,33880,32900,32797
1200,35802,32820,32508
1250,32976,32450,31848
1300,33676,32592,32536
1350,31812,32484,33120
1400,30440,33004,31772
1450,29460,33240,33078
1500,31318,32172,33313
1550,29188,32176,31908
1600,30668,33044,31960
1650,35124,32689,34409
1700,32984,32616,30980
1750,29948,32774,31616
1800,35224,34132,32116
1850,34429,33536,33276
1900,28600,31900,33472
1950,32424,33040,29360
2000,32564,34100,36288
2050,37192,34180,30548
2100,33348,32084,29128
2150,31232,32644,33684
2200,33352,32397,31904
2250,32348,32751,32720
2300,32716,32749,32960
2350,30656,32760,32263
2400,33181,32796,32614
2450,30158,32909,33336
2500,32984,32596,32580
2550,32817,32846,33172
2600,32600,32896,32422
2650,31912,32870,32724
2700,32764,32929,32210
2750,32068,32588,32684
2800,32812,32568,32876
2850,32720,32682,33092
2900,32760,32868,32512
2950,32812,32581,32424
3000,32844,32823,32836
3050,32848,32740,32692
3100,32796,32796,32740
3150,32900,32536,32902
3200,32782,32654,32940
3250,32804,32856,32689
3300,32836,32868,32684
3350,32788,32572,32800
3400,32848,32599,32824
3450,32776,32900,32873
3500,32852,32775,32748
3550,32810,32896,32733
3600,32793,32612,32853
3650,32772,32664,32904
3700,32794,32801,32853
3750,32824,32775,32663
3800,33049,32880,32745
3850,32736,32794,32889
3900,32672,32834,32790
3950,33052,32865,33041
4000,32908,32537,33318
4050,31812,32676,32744
4100,32660,32904,32832
4150,33196,32790,32870
4200,33317,32864,32806
4250,33216,32846,33578
4300,32100,32826,32433
4350,32592,32676,33205
4400,31944,32932,32808
4450,32616,32584,33348
4500,33872,32512,30917
4550,31648,32612,37864
4600,32644,32584,35026
4650,34230,32484,34916
4700,30044,32844,31125
4750,30376,32988,32637
4800,32426,32348,32508
4850,34204,32848,33604
4900,34352,32788,33588
4950,30345,32927,28428
5000,32792,32132,31109
5050,35796,31845,28596
5100,33332,32478,33717
5150,34138,32312,31668
5200,31560,32618,34356
5250,28404,32052,31760
5300,36340,32912,34736
5350,35444,33316,32764
5400,37532,33100,35636
5450,29248,33244,33231
5500,32944,32866,32336
5550,30728,32306,36912
5600,33416,32530,32762
5650,30016,32332,29416
5700,28032,32670,31780
5750,33244,32800,34828
5800,27328,32284,34648
5850,38104,33508,30716
5900,34352,32300,35220
5950,33948,32455,29278
6000,33728,31807,30848
6050,29116,32812,31544
6100,34836,32588,31784
6150,35952,32242,35708
6200,35943,32621,31856
6250,34921,32204,31895
6300,34404,33104,31064
6350,31168,32400,29457
6400,31108,32600,33176
6450,34276,32508,33916
6500,27424,33812,35493
6550,24452,34172,36184
6600,32224,32088,35652
6650,33476,32564,31025
6700,28290,32602,31916
6750,34344,33366,32980
6800,34337,32464,29180
6850,35072,31676,33208
6900,35984,32592,32712
6950,32852,32332,32260
7000,36752,33224,30648
7050,31188,32636,32373
7100,32276,32040,32336
7150,37736,33112,34464
7200,32289,31812,31450
7250,30532,33164,33816
7300,32960,32901,33148
7350,34082,32935,32964
7400,32784,32861,32637
7450,32129,32714,33012
7500,33268,32829,32865
7550,32216,32713,32844
7600,31420,32593,33012
7650,32796,32647,32534
7700,32644,32860,32101
7750,32536,32436,32752
7800,32752,32664,33172
7850,32764,32780,33496
7900,32800,32692,32776
7950,32368,32860,32944
8000,32796,32856,32652
8050,32720,32678,32884
8100,32769,32580,32765
8150,32770,32649,32584
8200,32788,32840,32616
8250,32800,32868,32916
8300,32836,32625,32678
8350,32796,32925,32983
8400,32784,32612,32680
8450,32864,32599,32824
8500,32848,32937,32769
8550,32805,32694,33311
8600,32823,32917,33056
8650,32794,32750,32360
8700,32848,32554,32645
8750,32784,32666,32684
8800,32832,32655,32862
8850,32884,32671,33127
8900,32848,32828,32708
8950,32728,32788,32848
9000,32812,32700,32868
9050,32836,32592,32704
9100,32788,32624,32784
9150,32804,32685,32793
9200,32804,32628,33050
9250,32804,32726,32852
9300,32846,32789,32704
9350,32848,32837,32900
9400,32832,32856,32644
9450,32777,32636,32868
9500,32756,32606,32840
9550,32824,32736,32908
9600,32789,32645,32669
9650,32816,32570,32897
9700,32900,32488,32607
9750,32788,32649,32889
9800,32872,32870,32932
9850,32786,32632,32616
9900,32784,32693,32832
9950,32812,32585,32716
10000,32676,32604,32673
10050,32793,32756,32858
10100,32820,32876,32989
10150,32776,32837,32566
10200,32788,32655,32663
10250,32841,32529,32776
10300,32800,32828,32992
10350,32812,32599,32508
10400,32800,32808,32673
10450,32720,32700,32804
10500,32768,32533,32609
10550,32772,32910,32804
10600,32840,32902,32892
10650,32788,32481,32708
10700,32804,32632,32777
10750,32792,32649,32932
10800,32772,32757,32740
10850,32860,32488,32964
10900,32852,32596,32852
10950,32780,32873,32676
11000,32800,32628,32932
11050,32700,32598,32900
11100,32744,32884,32615
11150,32780,32756,32704
11200,32780,32548,32864
11250,32800,32649,32842
