Sequence Number,Channel1,Channel2,Channel3
0,63728,0,0
50,63492,0,0
100,63260,0,0
150,62936,0,0
200,62672,0,0
250,62340,0,0
300,62112,0,0
350,61840,0,0
400,61608,0,0
450,61456,0,0
500,61288,0,0
550,61040,0,0
600,60832,0,0
650,60640,0,0
700,60472,0,0
750,60288,0,0
800,60144,0,0
850,60032,0,0
900,59840,0,0
950,59688,0,0
1000,59540,0,0
1050,59336,0,0
1100,59160,0,0
1150,58992,0,0
1200,58788,0,0
1250,58576,0,0
1300,58400,0,0
1350,58200,0,0
1400,58016,0,0
1450,57864,0,0
1500,57664,0,0
1550,57432,0,0
1600,57264,0,0
1650,57072,0,0
1700,56860,0,0
1750,56712,0,0
1800,56464,0,0
1850,56296,0,0
1900,56224,0,0
1950,56008,0,0
2000,56032,0,0
2050,55920,0,0
2100,55744,0,0
2150,55576,0,0
2200,55424,0,0
2250,55232,0,0
2300,55096,0,0
2350,54960,0,0
2400,54848,0,0
2450,54688,0,0
2500,54584,0,0
2550,54424,0,0
2600,54352,0,0
2650,54288,0,0
2700,54160,0,0
2750,54064,0,0
2800,53944,0,0
2850,53808,0,0
2900,53640,0,0
2950,53480,0,0
3000,53336,0,0
3050,53232,0,0
3100,53064,0,0
3150,52904,0,0
3200,52752,0,0
3250,52624,0,0
3300,52516,0,0
3350,52436,0,0
3400,52288,0,0
3450,52144,0,0
3500,52040,0,0
3550,51936,0,0
3600,51800,0,0
3650,51744,0,0
3700,51608,0,0
3750,51536,0,0
3800,51420,0,0
3850,51336,0,0
3900,51240,0,0
3950,51112,0,0
4000,51000,0,0
4050,50856,0,0
4100,50760,0,0
4150,50648,0,0
4200,50548,0,0
4250,50420,0,0
4300,50324,0,0
4350,50192,0,0
4400,50060,0,0
4450,49948,0,0
4500,49896,0,0
4550,49776,0,0
4600,49648,0,0
4650,49576,0,0
4700,49456,0,0
4750,49304,0,0
4800,49216,0,0
4850,49168,0,0
