Sequence Number,Channel1,Channel2,Channel3
0,65535,0,0
50,65535,0,0
100,65535,0,0
150,65535,0,0
200,65535,0,0
250,65535,0,0
300,65535,0,0
350,65535,0,0
400,65535,0,0
450,65535,0,0
500,65535,0,0
550,65535,0,0
600,65535,0,0
650,65535,0,0
700,65535,0,0
750,65535,0,0
800,65535,0,0
850,65535,0,0
900,65535,0,0
950,65535,0,0
1000,65535,0,0
1050,65535,0,0
1100,65535,0,0
1150,65535,0,0
1200,65535,0,0
1250,65535,0,0
1300,65535,0,0
1350,65535,0,0
1400,65535,0,0
1450,65535,0,0
1500,65535,0,0
1550,65535,0,0
1600,65535,0,0
1650,65535,0,0
1700,65535,0,0
1750,65535,0,0
1800,65535,0,0
1850,65535,0,0
1900,65535,0,0
1950,65535,0,0
2000,65535,0,0
2050,65535,0,0
2100,65535,0,0
2150,65535,0,0
2200,65535,0,0
2250,65535,0,0
2300,65535,0,0
2350,65535,0,0
2400,65535,0,0
2450,65535,0,0
2500,65535,0,0
2550,65535,0,0
2600,65535,0,0
2650,65520,0,0
2700,65535,0,0
2750,65535,0,0
2800,65535,0,0
2850,65535,0,0
2900,65535,0,0
2950,65535,0,0
3000,65520,0,0
3050,65535,0,0
3100,65535,0,0
3150,65535,0,0
3200,65535,0,0
3250,65535,0,0
3300,65528,0,0
3350,65535,0,0
3400,65524,0,0
3450,65535,0,0
3500,65535,0,0
3550,65520,0,0
3600,65535,0,0
3650,65535,0,0
3700,65535,0,0
3750,65528,0,0
3800,65535,0,0
3850,65524,0,0
3900,65535,0,0
3950,65520,0,0
4000,65535,0,0
4050,65520,0,0
4100,65535,0,0
4150,65535,0,0
4200,65535,0,0
4250,65520,0,0
4300,65520,0,0
4350,65528,0,0
4400,65535,0,0
4450,65535,0,0
4500,65535,0,0
4550,65535,0,0
4600,65535,0,0
4650,65535,0,0
4700,65535,0,0
4750,65535,0,0
4800,65535,0,0
4850,65535,0,0
4900,65535,0,0
4950,65520,0,0
5000,65535,0,0
5050,65535,0,0
5100,65535,0,0
5150,65520,0,0
5200,65535,0,0
5250,65520,0,0
5300,65535,0,0
5350,65535,0,0
5400,65535,0,0
5450,65528,0,0
5500,65535,0,0
5550,65535,0,0
5600,65535,0,0
5650,65520,0,0
5700,65535,0,0
5750,65535,0,0
5800,65528,0,0
5850,65520,0,0
5900,65520,0,0
5950,65512,0,0
6000,65524,0,0
6050,65520,0,0
6100,65524,0,0
6150,65524,0,0
6200,65524,0,0
6250,65520,0,0
6300,65512,0,0
6350,65520,0,0
6400,65520,0,0
6450,65512,0,0
6500,65508,0,0
6550,65512,0,0
6600,65520,0,0
6650,65504,0,0
6700,65504,0,0
6750,65520,0,0
6800,65504,0,0
6850,65504,0,0
6900,65392,0,0
6950,65472,0,0
7000,65488,0,0
7050,65492,0,0
7100,65104,0,0
7150,64928,0,0
7200,64512,0,0
7250,64448,0,0
7300,63904,0,0
7350,64084,0,0
7400,63712,0,0
7450,63912,0,0
7500,64512,0,0
7550,63968,0,0
7600,63760,0,0
7650,64016,0,0
7700,63720,0,0
7750,63304,0,0
7800,63508,0,0
7850,62784,0,0
7900,63040,0,0
7950,63172,0,0
8000,62368,0,0
8050,62000,0,0
