Sequence Number,Channel1,Channel2,Channel3
0,32792,32783,32916
50,32766,32871,32801
100,32744,32673,32600
150,32768,32844,32861
200,32721,33060,32865
250,32756,32870,32943
300,32765,33348,32933
350,32812,32676,32701
400,32820,32863,32580
450,32852,32653,32601
500,32796,32868,32656
550,32741,32857,32557
600,32729,32988,32592
650,32876,32681,32644
700,32796,32852,32798
750,32748,32577,32773
800,32804,32956,32864
850,32764,32927,32976
900,32732,32568,32772
950,32855,32714,32860
1000,32768,32440,32817
1050,32757,32519,32734
1100,32832,32719,32770
1150,32760,32484,32823
1200,32828,33268,32773
1250,33166,32326,32685
1300,33173,32850,32808
1350,33773,33598,32805
1400,32680,32457,32796
1450,32716,33117,32862
1500,32692,32932,32705
1550,33048,26036,32764
1600,32876,34804,32660
1650,32836,31553,32804
1700,32601,31770,32705
1750,32116,33503,32584
1800,32956,37780,32732
1850,32704,33684,32999
1900,33432,32980,32824
1950,32764,32787,32721
2000,33424,33044,32785
2050,32814,32913,32741
2100,32752,32669,32572
2150,32856,32826,32788
2200,32844,32540,32889
2250,32760,32719,32693
2300,32713,32893,32875
2350,32800,32884,32725
2400,32809,32761,32765
2450,32673,32694,32798
2500,32840,32932,32801
2550,32772,32761,32652
2600,32832,32911,32679
2650,32800,32903,32695
2700,32800,32796,32810
2750,32728,32837,32782
2800,32800,32957,32668
2850,32792,32800,32775
2900,32772,32709,32769
2950,32732,32630,32732
3000,32844,32676,32743
3050,32801,32959,32774
3100,32797,32958,32701
3150,32800,32804,32629
3200,32840,32829,32660
3250,32842,32743,32774
3300,32832,32636,32838
3350,32801,32702,32789
3400,32756,32936,32620
3450,32864,32796,32629
3500,32804,32746,32812
3550,32756,32813,32623
3600,32760,32719,32775
3650,32824,32943,32796
3700,32768,32708,32710
3750,32848,32991,32751
3800,32768,32696,32829
3850,32809,32722,32668
3900,32800,32966,32676
3950,32813,32985,32745
4000,32796,32788,32703
4050,32886,32794,32767
4100,32864,32831,32682
4150,32876,32719,32784
4200,32892,33002,32849
4250,32876,32936,32794
4300,32790,32738,32774
4350,32786,32820,32771
4400,32708,33031,32664
4450,32808,33075,32800
4500,32772,32839,32904
4550,32800,32623,32788
4600,32836,32824,32884
4650,32820,32915,32726
4700,32840,32861,32814
4750,32760,32594,32487
4800,32804,32784,32745
4850,32712,32756,32708
4900,32528,33068,32705
4950,32836,33041,32800
5000,32964,32743,32188
5050,32720,32788,32718
5100,32850,32836,32620
5150,32668,32944,32753
5200,32952,32868,32772
5250,32720,32921,32685
5300,33020,32689,32829
5350,32636,32919,32725
5400,32853,32805,32831
5450,32828,32725,32900
5500,32828,32951,32764
5550,32808,32825,32740
5600,32776,32694,32808
5650,32772,32869,32684
5700,32782,32908,32708
5750,32628,32892,32781
5800,32576,32865,32684
5850,32270,32765,32892
5900,33116,33440,32684
5950,34336,32741,32540
6000,30316,33045,32824
6050,31140,33016,32751
6100,33124,32837,32884
6150,33412,32424,32689
6200,27440,33352,32889
6250,33428,32530,32865
6300,36288,34108,32160
6350,28940,32940,32889
6400,37788,32892,33348
6450,39064,33268,32225
6500,32044,33120,31736
6550,30202,33596,33136
6600,36229,31856,33579
6650,29133,32079,35268
6700,27940,32761,34084
6750,37205,32796,32749
6800,30540,32940,31319
6850,32712,33332,32847
6900,31557,32640,32129
6950,32620,32516,35629
7000,35170,31372,30973
7050,30148,32559,33164
7100,28416,33234,31512
7150,28262,31452,33352
7200,22400,32601,32936
7250,22468,32824,33473
7300,33192,33418,32684
7350,29000,33812,32489
7400,39140,32436,31863
7450,29239,31533,30561
7500,22230,33092,32060
7550,39916,33572,31560
7600,34204,30600,31256
7650,31956,31149,34642
7700,30368,31878,32993
7750,37916,33039,31908
7800,17584,34232,33328
7850,35820,34044,31872
7900,39532,33300,30276
7950,32092,33573,32708
8000,37920,33874,32880
8050,40480,33664,31364
8100,29736,32957,33232
8150,26116,34172,33525
8200,25824,36260,32180
8250,18073,32216,35169
8300,29609,33100,32825
8350,35932,30568,32672
8400,34036,33044,32611
8450,32868,32688,32753
8500,32876,33097,32761
8550,32792,32756,32772
8600,32767,32604,32717
8650,32801,32736,32868
8700,32846,32876,32775
8750,32785,32883,32625
8800,32841,32988,32863
8850,32812,32743,32885
8900,32818,32704,32905
8950,32700,32897,32856
9000,32834,32789,32727
9050,32796,32765,32840
9100,32828,33029,32784
9150,32772,32853,32789
9200,32784,32941,32853
9250,32816,32693,32692
9300,32816,32785,32685
9350,32844,32840,32916
9400,32740,32458,32835
9450,33212,33189,32871
9500,32826,32876,32587
9550,30670,32533,32833
9600,35452,32384,32644
9650,33200,32625,32732
9700,34164,32757,32807
9750,34820,32566,32605
9800,35269,32462,33087
9850,32996,33444,32808
9900,33230,32849,32745
9950,36569,33165,32124
10000,33828,32999,32415
10050,29933,32372,32579
10100,26524,33260,32240
10150,27676,32558,32801
10200,36188,32889,32244
10250,35790,32997,32852
10300,34820,32476,32662
10350,37288,33340,32816
10400,32948,33992,33368
10450,32652,32773,34516
10500,44684,32790,32768
10550,38044,33972,31480
10600,23772,32421,32836
10650,38828,33084,39460
10700,26846,31208,32448
10750,36456,33345,30852
10800,45028,31969,31788
10850,32774,32989,32812
10900,35876,27988,34412
10950,53520,32874,32160
11000,24452,32549,32989
11050,32616,32464,34586
11100,42236,32401,32749
11150,39076,34904,32236
11200,39724,32816,33828
11250,38992,30008,31560
11300,29124,33172,32932
11350,34536,31528,31984
11400,41582,32983,32069
11450,24276,33484,33456
11500,27960,33338,33452
11550,26572,33456,33944
11600,36760,33132,33244
11650,29780,33552,33828
11700,33268,32936,32212
11750,39648,32864,31692
11800,30504,32468,32136
11850,31752,34556,30596
11900,36172,32526,33004
11950,18591,33805,32232
12000,31616,33780,31960
12050,30885,33356,32911
12100,30500,32532,32772
12150,35396,32936,33232
12200,27796,30424,35570
12250,33894,32484,32743
12300,33680,33276,32372
12350,33150,32864,33004
12400,36516,32165,32781
12450,30084,30836,32068
12500,26068,32656,34098
12550,30264,32252,32365
12600,35040,33196,32854
12650,30012,32057,33540
12700,32897,32928,32764
12750,32868,32647,32737
12800,32814,32873,32742
12850,32793,32988,32727
12900,32798,32668,32924
12950,32860,32775,32708
13000,32868,32789,32881
13050,32777,32893,32716
13100,32756,32718,32652
13150,32864,32901,32745
13200,32818,32845,32377
13250,32796,32985,32844
13300,32784,32999,32660
13350,32837,32764,32752
13400,32751,32813,32436
13450,32818,32735,32772
13500,32876,32881,32760
13550,32876,32775,32216
13600,32772,32908,32716
13650,32858,32972,32628
13700,32858,32714,32694
13750,32860,32837,32879
13800,32756,32917,32699
13850,32752,32925,32608
13900,32820,32970,32660
13950,32828,32703,32827
14000,32801,32782,32630
14050,32798,32804,32732
14100,32808,32863,32651
14150,32813,32900,32705
14200,32764,32756,32807
14250,32842,32836,32718
14300,32820,32895,32959
14350,32842,32769,32751
14400,32772,33000,32996
14450,32858,32934,32760
14500,32812,32692,32836
14550,32748,32933,32820
14600,32816,32903,32843
14650,32828,32873,32617
14700,32841,32737,32738
14750,32732,32719,32696
14800,32740,32751,32764
14850,32756,32888,32861
14900,32820,32768,32700
14950,32856,32959,33007
15000,32772,32704,32834
15050,32808,32909,32705
15100,32824,32709,32849
15150,32876,32925,32730
15200,32901,32838,32710
15250,32856,32757,32746
15300,32897,32785,32780
15350,32768,32761,32764
15400,32836,32787,32789
15450,32740,32695,32708
15500,32760,32964,32673
15550,32852,32853,32935
15600,32856,32913,32736
15650,32782,32893,32676
15700,32824,32740,32792
15750,32807,32757,32805
15800,32778,32925,32788
15850,32805,32684,32677
15900,32826,32917,32784
15950,32744,32962,32917
16000,32805,32743,32759
16050,32825,32800,32805
16100,32752,32750,32766
16150,32788,32718,32748
16200,32842,32751,32864
16250,32876,32944,32866
16300,32832,32742,32772
16350,32832,32778,32912
16400,32820,32729,32756
16450,32792,32671,32838
16500,32804,32759,32860
16550,32788,32932,32724
16600,32796,32895,32865
16650,32760,32741,32748
16700,32848,32849,32762
16750,32820,32772,32756
16800,32772,32833,32733
16850,32796,32756,32857
16900,32797,32932,32812
16950,32844,32933,32775
17000,32789,32732,32847
17050,32812,32884,32718
17100,32766,32942,32638
17150,32760,32828,32751
17200,32764,32961,32873
17250,32848,32775,32740
17300,32836,33167,32740
17350,32852,30096,32812
17400,32764,33342,32799
17450,32828,33884,32756
17500,32852,33973,32644
17550,32737,30507,32801
17600,32808,28049,32679
17650,32876,31277,32660
17700,32804,31639,32813
17750,32808,35972,32748
17800,32770,29189,32732
17850,32848,38828,32932
17900,32857,31124,32639
17950,32794,28268,32664
18000,32824,38113,32741
18050,32669,35044,32784
18100,32816,37861,32757
18150,32740,35252,32826
18200,32900,34264,32852
18250,32820,33516,32766
18300,32736,30708,32600
18350,32820,34220,32734
18400,32805,33291,32616
18450,32804,36180,32671
18500,32704,29727,32617
18550,32796,40216,32776
18600,32737,30905,32655
18650,32812,25352,32732
18700,32844,36260,32845
18750,32802,44064,32800
18800,32925,24592,32868
18850,32780,19010,32684
18900,32836,30692,32716
18950,32704,39460,32794
19000,32764,25748,32832
19050,32732,23829,32756
19100,32856,32706,32764
19150,32592,21890,32708
19200,32776,25420,32792
19250,32740,30548,32760
19300,32765,21956,32548
19350,32802,28860,32848
19400,32728,34160,32860
19450,32812,37348,32768
19500,32768,35332,32713
19550,32872,37204,32676
19600,32858,34856,32648
19650,32768,35160,32790
19700,32869,32850,32857
19750,32824,33621,32790
19800,32808,33200,32661
19850,32784,30776,32714
19900,32654,37964,32748
19950,32768,37044,32756
20000,32732,34292,32801
20050,32856,34367,32881
20100,32776,34071,32758
20150,32705,26456,32893
20200,32788,36533,32793
20250,32732,33634,32999
20300,32880,36484,32774
20350,32776,35444,32807
20400,32896,34228,32780
20450,32833,33908,32791
20500,32836,31670,32868
20550,32836,24580,32756
20600,32802,37705,32776
20650,32752,34847,32745
20700,32820,33663,32986
20750,32794,33068,32828
20800,32768,33493,32836
20850,32852,34207,32724
20900,32812,32892,32798
20950,32817,33287,32884
21000,32857,33180,32884
21050,32761,31996,32788
21100,32776,32436,32748
21150,32781,32933,32805
21200,32794,33201,32652
21250,32828,33031,32685
21300,32736,32935,32809
21350,32864,32477,32792
21400,32752,33364,32824
21450,32801,33091,32832
21500,32745,32957,32871
21550,32792,33934,32708
21600,32804,32815,32845
21650,32856,32069,32672
21700,32816,29212,32684
21750,32772,39708,32748
21800,32776,37920,32836
21850,32708,32649,32697
21900,32748,33408,32669
21950,32800,34228,32699
22000,32832,32831,32633
22050,32841,32943,32808
22100,32852,32181,32772
22150,32901,34468,32628
22200,32828,33502,32941
22250,32756,32824,32893
22300,32820,33990,32808
22350,32868,33450,32668
22400,32848,31940,32708
22450,32766,32710,32826
22500,32734,32286,32726
22550,32789,32972,32749
22600,32812,32809,32733
22650,32724,32728,32844
22700,32960,32847,32655
22750,32808,32928,32697
22800,32785,32840,32759
22850,32780,32823,32661
22900,32908,32732,32693
22950,32836,32748,32698
23000,32809,32879,32876
23050,32808,32761,32840
23100,32852,32893,32708
23150,32825,32977,32293
23200,32848,32919,32976
23250,32833,32794,36389
23300,32829,32696,35636
23350,32826,32939,30929
23400,32832,32951,32061
23450,32812,32860,28620
23500,32816,32721,32646
23550,32780,32861,32276
23600,32770,32780,33412
23650,32844,32676,34189
23700,32824,32772,31708
23750,32876,32792,27748
23800,32816,32900,28048
23850,32580,32696,31844
23900,32817,32737,26005
23950,32741,32996,29212
24000,32616,32716,34674
24050,32832,32969,31292
24100,32676,32704,33294
24150,32836,32655,35737
24200,32764,32684,33044
24250,32832,32825,30788
24300,32860,32727,29204
24350,32792,32441,23584
24400,32961,32693,30299
24450,32889,32745,33389
24500,32672,32929,34444
24550,32700,32756,31740
24600,32789,32663,29894
24650,32772,33071,36228
24700,32668,32801,43757
24750,32932,32891,33784
24800,32864,32800,35185
24850,32785,32892,30984
24900,32800,32876,36623
24950,32692,32765,32302
25000,32757,32895,35335
25050,32864,32769,35016
25100,32896,32900,34656
25150,32984,32974,38948
25200,32733,32976,30349
25250,32996,32764,30937
25300,32864,32775,35294
25350,32760,32928,31324
25400,32720,32892,28288
25450,32848,33016,35236
25500,32909,32721,30561
25550,32628,32832,36868
25600,32753,32742,32569
25650,32836,32876,33111
25700,32772,32927,29856
25750,32857,32901,33242
25800,32816,32740,31852
25850,32764,32713,37116
25900,32813,32852,31965
25950,32688,33039,33248
26000,32800,32824,32151
26050,32692,32740,32438
26100,32724,32737,32988
26150,32772,32747,32727
26200,32887,32785,32741
26250,32636,32727,32671
26300,32832,32677,31488
26350,32844,32807,33815
26400,32780,32687,32964
26450,32654,32968,29548
26500,32816,32871,32221
26550,32840,32993,33054
26600,32833,32805,33287
26650,32844,32981,34385
26700,32852,32965,33189
26750,32768,32926,32543
26800,32772,32682,33484
26850,32796,32977,32625
26900,32836,32801,32948
26950,32878,32944,34909
27000,32753,32704,40498
27050,32850,32713,33451
27100,32888,32909,39364
27150,32736,32948,27313
27200,32953,32716,30245
27250,32700,32765,39590
27300,32669,32957,26972
27350,32824,32908,35976
27400,32764,32905,43556
27450,32868,32932,36688
27500,32654,32765,45376
27550,32996,32660,30958
27600,32532,32950,30489
27650,32836,32768,25004
27700,32776,32812,34476
27750,32876,32837,36368
27800,32836,32792,34520
27850,33008,32952,32103
27900,32900,32964,35552
