Sequence Number,Channel1,Channel2,Channel3
0,32804,31397,32204
50,32784,31684,32942
100,32824,32780,32583
150,32756,35600,32992
200,32900,32943,31877
250,32788,33516,33589
300,32872,31124,32933
350,32840,32837,32919
400,32840,32504,32682
450,32760,32229,32809
500,32764,31832,33254
550,32696,32143,32528
600,32828,33056,33132
650,32784,32558,33079
700,32820,32495,31834
750,32800,32294,32326
800,32824,31676,32840
850,32805,31460,33377
900,32752,31828,32484
950,32768,32016,32719
1000,32885,33494,33076
1050,32868,32380,32804
1100,32820,31847,32544
1150,32836,33164,32306
1200,32844,31025,33012
1250,32838,31829,32517
1300,32796,32630,32808
1350,32733,33028,32372
1400,32848,31438,32644
1450,32852,33240,32440
1500,32868,32626,33025
1550,32812,31868,33188
1600,32800,32028,33292
1650,32896,34088,32524
1700,32781,34884,32968
1750,32772,33636,32652
1800,32764,32519,32848
1850,32714,32220,32992
1900,32902,34340,32922
1950,32720,32228,32934
2000,32828,32188,32680
2050,32844,32200,32820
2100,32820,32896,32660
2150,32852,32209,32728
2200,32876,31990,33140
2250,32880,32885,32705
2300,32808,33141,33454
2350,32776,31510,33189
2400,32776,41172,32616
2450,32800,32725,32625
2500,32824,32524,32828
2550,32888,32654,32908
2600,32652,33281,33802
2650,32768,33106,33244
2700,32564,30533,33470
2750,32434,38256,33261
2800,33328,29272,34632
2850,32660,32180,32092
2900,33150,32748,34696
2950,33316,32877,32622
3000,33332,35620,39218
3050,31404,31964,24130
3100,31256,33305,28324
3150,26376,32636,40436
3200,31524,33460,38432
3250,34156,31725,27601
3300,31184,30432,34636
3350,33504,34432,34276
3400,30512,31337,32980
3450,24206,31404,33044
3500,34860,32780,33168
3550,33688,32161,32646
3600,31316,31986,31140
3650,37028,32172,32914
3700,34080,32492,32662
3750,37416,32244,33152
3800,24033,30918,33358
3850,36332,33636,32792
3900,24905,32020,32876
3950,37596,33694,32664
4000,33536,32688,32584
4050,32164,31865,33092
4100,31800,32873,32996
4150,26688,32952,33348
4200,36584,32064,32736
4250,28132,33316,33021
4300,31104,33725,33344
4350,32052,32740,32920
4400,31632,33720,33148
4450,37180,30560,32624
4500,32756,33420,32528
4550,36812,33932,32688
4600,34752,30160,33150
4650,35140,30256,32765
4700,29612,32628,32356
4750,37804,32612,32268
4800,32176,33148,32958
4850,35470,32697,32568
4900,33472,31999,32104
4950,34809,32790,33284
