Sequence Number,Channel1,Channel2,Channel3
13300,33144,32709,33080
13350,36892,33522,32456
13400,34336,32916,32576
13450,27084,32892,32472
13500,26268,32452,32016
13550,20922,33892,32999
13600,30792,32244,36120
13650,32848,32768,32949
13700,31196,32452,32932
13750,35888,32652,33204
13800,34424,32642,31356
13850,33264,32664,34248
13900,21278,33264,32172
13950,24940,33108,35596
14000,33740,32680,30996
14050,35292,32721,32452
14100,32376,32716,32972
14150,33188,32519,32878
14200,32720,33189,32868
14250,33360,33513,32512
14300,32220,33706,32684
14350,32584,31988,32484
14400,32052,31016,32496
14450,34008,33532,32620
14500,32908,33656,32652
14550,33488,33772,32036
14600,31536,32232,32733
14650,34332,33572,32824
14700,32988,33620,32864
14750,32808,33145,32844
14800,33336,32528,32672
14850,32012,32674,32972
14900,32796,32775,32824
14950,33204,32723,32880
15000,33600,32407,32884
15050,32800,32899,32716
15100,33144,32580,32864
15150,32737,32623,32934
15200,32848,32559,32724
15250,33352,33364,32836
15300,32320,32630,32686
15350,32804,32508,32696
15400,32632,33264,32604
15450,33016,32248,32809
15500,33240,33600,32812
15550,34320,32716,32956
15600,32328,32222,32745
15650,32186,33510,32784
15700,32644,32444,32944
15750,33052,32800,32892
15800,34212,32468,32752
15850,33224,32604,33080
15900,33336,33214,33470
15950,34090,32535,32586
16000,33724,32192,32878
16050,30976,32484,33060
16100,33978,32620,31732
16150,32350,32692,32983
16200,36520,33084,32464
16250,32744,32636,32500
16300,36472,32308,32701
16350,34880,32674,32300
16400,32044,32929,32960
16450,34112,33120,32940
16500,37302,33084,31980
16550,38404,32564,32999
16600,33484,32750,31884
16650,29492,32548,32322
16700,33900,33334,34297
16750,31932,31664,35024
16800,37712,33252,31469
16850,33816,32460,31140
16900,27636,33969,32885
16950,34974,32432,32560
17000,34841,32832,31950
17050,33204,32764,33384
17100,36800,32680,34344
17150,36688,32687,32364
17200,27542,32880,31764
17250,25890,32468,33729
17300,28708,32300,32228
17350,34072,32780,33117
17400,37072,33020,33060
17450,32740,33704,32494
17500,35868,32502,32280
17550,33804,32372,31172
17600,32620,33016,32557
17650,31369,33048,32681
17700,34016,32584,32764
17750,33681,33776,32425
17800,33040,33316,32548
17850,32541,32016,32640
17900,33836,31788,32449
17950,34448,32988,32737
18000,31728,32668,32644
18050,32908,33542,32992
18100,34832,32653,33066
18150,32992,31847,32733
18200,31936,32884,32872
18250,30628,32391,32924
18300,32951,32348,32925
18350,34124,31632,32220
18400,32394,32653,32885
18450,33136,32805,32492
18500,32996,33476,32841
18550,32880,32543,32852
18600,32804,31612,32942
18650,33268,32703,32904
18700,32804,32124,32864
18750,32800,33016,32980
18800,32844,32842,32660
18850,32800,33048,32647
18900,32964,34166,32712
18950,32836,32817,32775
19000,32601,32844,32922
19050,33440,32072,32811
19100,32356,32788,33031
19150,32560,32677,32679
19200,32592,33320,33031
19250,32644,33225,32803
19300,33800,32454,32688
19350,32010,32776,32623
19400,32744,33600,32552
19450,32756,33768,32862
19500,30948,32768,32640
19550,32620,32612,32932
19600,34452,32514,32848
19650,33184,32116,33076
19700,35376,31570,32324
19750,33815,32000,33133
19800,33140,32504,33056
19850,33556,34429,32740
19900,26956,31548,32552
19950,26864,32084,33160
20000,36564,32540,33191
20050,37424,33956,33640
20100,38136,32956,31538
20150,33316,32948,32606
20200,33077,32357,32756
20250,34872,32708,33249
20300,30892,32876,32372
20350,33532,31980,32825
20400,38133,32912,37642
20450,33242,32904,32692
20500,36312,32656,32280
20550,27824,32660,33100
20600,33173,32441,32040
20650,28674,32580,30812
