Sequence Number,Channel1,Channel2,Channel3
0,32847,32921,32640
50,32784,32836,32604
100,32800,32957,33287
150,32800,32854,32960
200,32849,32871,32541
250,32785,32981,32828
300,32892,32775,32896
350,32808,32992,33028
400,32816,32911,32804
450,32852,32886,33156
500,32868,32976,32653
550,32820,32812,32351
600,32837,32785,32676
650,32861,32724,32525
700,32741,32879,32991
750,32792,32860,32708
800,32787,32700,32752
850,32824,32757,32825
900,32848,32716,32663
950,32808,33304,32712
1000,32860,32622,32935
1050,32860,32967,32681
1100,32824,32871,32716
1150,32808,32663,32670
1200,32852,32684,32736
1250,32832,32876,32670
1300,32776,32883,32784
1350,32766,32743,32825
1400,32812,32944,32700
1450,32832,32966,32829
1500,32808,32809,32775
1550,32858,33004,32873
1600,32776,32929,32721
1650,32766,33052,32633
1700,32892,32743,32998
1750,32792,32942,32806
1800,32796,32708,32927
1850,32828,32956,32668
1900,32384,32975,32845
1950,32778,32921,32601
2000,32871,32951,32876
2050,32982,32940,32764
2100,32892,33030,32916
2150,33132,32983,32775
2200,32532,32788,32806
2250,32816,32975,32911
2300,32856,32814,32864
2350,32516,32956,32736
2400,31301,32669,32647
2450,32972,32929,32667
2500,32936,32927,32693
2550,32796,32709,32788
2600,32896,32671,32881
2650,32892,32767,32693
2700,31928,32954,33057
2750,33164,32748,32584
2800,33225,32856,32982
2850,32149,32980,32710
2900,32856,32901,33940
2950,31710,32991,33152
3000,33832,32912,33356
3050,34798,32708,32864
3100,33674,33092,30884
3150,34244,32909,32325
3200,33256,32640,32897
3250,31468,32961,32389
3300,33772,32340,31228
3350,33872,32909,34592
3400,33648,32588,31151
3450,32504,32917,31300
3500,32524,32812,33205
3550,33056,32774,33685
3600,34428,32766,32100
3650,34884,32782,33646
3700,32748,32916,37265
3750,30549,32753,32201
3800,33388,32814,32718
3850,30144,32976,33261
3900,31364,32958,33028
3950,28841,32897,33032
4000,33244,32826,32560
4050,30280,33287,32990
4100,33164,32911,32660
4150,32920,32798,32999
4200,33448,32689,33060
4250,33048,32726,32956
4300,33584,32583,32777
4350,33728,32701,32712
4400,33740,32631,32721
4450,30920,32996,32876
4500,28588,32652,32892
4550,33781,32759,32748
4600,31045,32711,32820
4650,32314,32868,32865
4700,33037,32631,32780
4750,31748,32638,32759
4800,31548,32953,32814
4850,32616,32948,32751
4900,35216,32944,32684
4950,34081,32905,32661
5000,33386,32572,32802
5050,33176,32857,32705
5100,33569,32743,32704
5150,31732,32604,32733
5200,31336,32836,32921
5250,32012,33052,32665
5300,32794,32708,32655
5350,33376,32975,32674
5400,32802,32972,32765
5450,32716,32845,32814
5500,32740,32618,32807
5550,33185,32858,32826
5600,32910,32917,32760
5650,32800,32919,32828
5700,32760,32800,32820
5750,32877,33004,32669
5800,32616,32668,32420
5850,32644,32433,33472
5900,32444,32961,32932
5950,32784,32964,32959
6000,32801,32844,32821
6050,32868,32711,33973
6100,33796,32845,33180
6150,33192,32584,32817
6200,32800,32873,32318
6250,32852,32646,32608
6300,32757,32980,33124
6350,32740,32893,32785
6400,32736,33060,32984
6450,32512,32804,33041
6500,32608,32895,32390
6550,32288,32969,32698
6600,33036,32841,32847
6650,32260,32727,32683
6700,32648,32574,32869
6750,32972,32727,32893
6800,32897,32868,32733
6850,33896,32928,31881
6900,31972,32946,33149
6950,29656,32684,31750
7000,32512,32625,32647
7050,32020,32820,33213
7100,33368,32669,32184
7150,31197,32894,32152
7200,32828,32725,32280
7250,33526,32879,32927
7300,30744,33040,34984
7350,33188,32969,32420
7400,34174,33045,32024
7450,30308,32820,33012
7500,33260,33021,32964
7550,32020,32804,33436
7600,30261,33028,33520
7650,33268,33150,33720
7700,30285,32762,33493
7750,34240,32927,31869
7800,32640,32754,32752
7850,33684,32848,33733
7900,31862,32895,32918
7950,35236,32853,32612
8000,34036,32872,32397
8050,31980,32685,32343
8100,33222,33089,32988
8150,33184,32892,32900
8200,29288,32954,32996
8250,32880,33016,32725
8300,33300,32743,32603
8350,30456,32621,33177
8400,33412,32840,33067
8450,33552,32636,32784
8500,33060,32635,32773
8550,33556,32805,32816
8600,33064,32732,32220
8650,31288,32590,32075
8700,33117,32841,33212
8750,33181,32619,32520
8800,33644,32775,32750
8850,33184,32743,32700
8900,32913,32855,32686
8950,33093,33054,32878
9000,32932,32949,32614
9050,33608,32772,32629
9100,32800,32936,32798
9150,33005,33030,32677
9200,32876,32772,32817
9250,33001,32794,32839
9300,32518,32896,32573
9350,33212,32565,32766
9400,32940,32893,32628
9450,32304,32725,32704
9500,32758,32820,32673
9550,32768,32854,32637
9600,33126,33276,32580
9650,32615,33053,32702
9700,32986,33085,32794
9750,33360,33077,32596
9800,33364,32708,33396
9850,32980,32892,32280
9900,33768,32920,33040
9950,33708,32577,32175
10000,33909,32806,32080
10050,31792,32708,34556
10100,33608,32876,32751
10150,34424,32817,32108
10200,33636,32860,31877
10250,33594,32801,32074
10300,33140,32962,31508
10350,34560,32728,31212
10400,33744,32682,31024
10450,32096,33031,34112
10500,32038,33060,32486
10550,33828,32996,32296
10600,31972,32956,34036
10650,31568,32796,30033
10700,33326,32768,32420
10750,32120,33013,32356
10800,32100,32878,32612
10850,33072,33220,32399
10900,28005,32757,32421
10950,30876,32893,32764
11000,33182,33344,32814
11050,33160,32879,32514
11100,32684,32742,32772
11150,32974,32804,32820
11200,33892,32985,32261
11250,31564,32676,31471
11300,34380,32783,34239
11350,33036,32960,33154
11400,32289,32740,32727
11450,33076,32800,32543
11500,33604,32756,32894
11550,33262,32985,32909
11600,33020,32863,32795
11650,33033,32576,32560
11700,32724,32904,32993
11750,32912,32736,33080
11800,32582,32801,32820
11850,33796,32481,32657
11900,33048,32964,33183
11950,33248,33052,32619
12000,32460,32624,32615
12050,33480,32684,32269
12100,31776,33043,32820
12150,34304,32800,32816
12200,33160,33096,32768
12250,31552,32734,32756
12300,33712,32937,32003
12350,31266,33079,32689
12400,33316,32652,32833
12450,32385,33005,32913
12500,32132,33072,32953
12550,32396,33013,32604
12600,33821,32703,32788
12650,33676,33233,32569
12700,32664,32941,33204
12750,29729,32968,32713
12800,32382,32616,32488
12850,34749,32588,32377
12900,32228,32964,32464
12950,33860,32696,31668
13000,31984,32604,33468
13050,31952,32676,35018
13100,30668,32972,32018
13150,33996,32971,34098
13200,32390,32910,32343
13250,34284,32744,32972
13300,32368,33005,32464
13350,31268,32738,33830
13400,31020,32911,33124
13450,32936,32887,31727
13500,36889,32932,31985
13550,33304,32948,32868
13600,33904,33088,33636
13650,32128,32996,32477
13700,34124,33006,31873
13750,33508,32791,32785
13800,32296,33070,33508
13850,32645,32993,32501
13900,31976,32753,33108
13950,32742,32673,32844
14000,32728,32828,32757
14050,32852,32623,32681
14100,31656,32764,33388
14150,33356,32743,32730
14200,33580,32879,32554
14250,33392,32940,32902
14300,32437,32871,32660
14350,33124,32664,32920
14400,34050,32640,32501
14450,33096,33015,32516
14500,34212,32890,32556
14550,32164,32690,32512
14600,33324,32801,32766
14650,33052,32653,32612
14700,32456,32700,32704
14750,32919,32709,32829
14800,32540,33007,32841
14850,31566,33036,32745
14900,32884,32807,32718
14950,32868,33047,32833
15000,32708,32764,32789
15050,31564,32897,32764
15100,33600,32871,32766
15150,33096,32830,32556
15200,32653,32533,32700
15250,32933,32964,32932
15300,33040,32839,32868
15350,32308,32865,32820
15400,32728,32743,32715
15450,33188,32868,32604
15500,34241,32753,32967
15550,33080,32652,31777
15600,31076,32733,32632
15650,33705,32912,32679
15700,32216,32753,32932
15750,31820,32785,33161
15800,33233,32704,32383
15850,33744,32724,33156
15900,33368,32676,32484
15950,33440,32636,32556
16000,36780,32933,32008
16050,33660,32772,34756
16100,32793,33048,32946
16150,30037,32869,32380
16200,35140,33204,32524
16250,30716,32831,33846
16300,31832,33093,33332
16350,32764,32449,31612
16400,30006,32920,32389
16450,34068,32916,32134
16500,33644,32772,33357
16550,34521,32818,32764
16600,32901,33044,33173
16650,34216,32738,33384
16700,33644,33045,33023
16750,33192,32916,33521
16800,34992,32908,32148
16850,33479,32703,32924
16900,33476,32744,32912
16950,32652,32805,32788
17000,32520,33012,34501
17050,31964,32897,32966
17100,32900,32833,32578
17150,33244,32704,32620
17200,32336,32746,32647
17250,32860,33076,32687
17300,34152,32740,33062
17350,33056,32815,32737
17400,33200,32824,32747
17450,31662,32673,32788
17500,32336,32519,32678
17550,32889,32749,32633
17600,34132,32913,32932
17650,33064,32900,32653
17700,33744,32647,32746
17750,32305,33009,32826
17800,32832,32880,32800
17850,33076,32941,32759
17900,32480,32937,32758
17950,32990,32841,32862
18000,29792,32728,32812
18050,32824,32973,32768
18100,32852,32824,32796
18150,32700,33014,32727
18200,32916,32706,32838
18250,32548,32792,32644
18300,32668,32730,32845
18350,35152,32852,32127
18400,33088,32854,32519
18450,31738,32815,32597
18500,31796,32607,32623
18550,33772,32701,32662
18600,31464,32648,31321
18650,32672,32800,32575
18700,33340,33124,32201
18750,29672,32826,32060
18800,31574,32818,32717
18850,32334,32693,34732
18900,33196,32526,32380
18950,33476,32872,32045
19000,34433,32784,33552
19050,34392,32817,32596
19100,33660,32916,32249
19150,32290,32868,33108
19200,34856,32636,32007
19250,31472,32933,32560
19300,33608,32884,31732
19350,32381,32692,32988
19400,34324,32681,32158
19450,32704,33159,32836
19500,33572,33073,33088
19550,34916,32623,32448
19600,31456,32933,32983
19650,32132,33028,32199
19700,32732,32721,32952
19750,31660,32648,32128
19800,32804,32949,32552
19850,32964,32894,33418
19900,32237,32703,32952
19950,32728,33221,32460
20000,31912,32950,32864
20050,32960,32725,32293
20100,32865,32790,33428
20150,32629,32677,33284
20200,32852,32766,33308
20250,32344,32876,32825
20300,32888,32720,32726
20350,31560,33128,32856
20400,33192,32765,32668
20450,33068,32852,32708
20500,32608,32945,32921
20550,32671,32788,32780
