Sequence Number,Channel1,Channel2,Channel3
0,32872,32775,32740
50,33081,32993,32746
100,32906,32749,32750
150,32744,32852,32856
200,32584,33004,32800
250,33164,32660,32873
300,32928,32786,32701
350,33330,32764,32856
400,32984,32900,32772
450,32778,32990,35140
500,32632,32759,34572
550,32734,32805,32409
600,33236,32806,33284
650,32848,32951,32709
700,32245,33820,34192
750,32832,32893,32663
800,32220,32577,32451
850,33316,33196,32710
900,32925,32679,32642
950,32272,33039,32743
1000,32792,32961,32772
1050,33244,32932,32999
1100,32276,33014,32815
1150,32796,32933,32686
1200,32597,32897,32774
1250,33228,33050,32818
1300,32816,33047,33014
1350,33026,32681,32073
1400,32868,32833,33189
1450,33356,32764,32879
1500,31108,32926,32790
1550,32048,32820,32166
1600,32932,32940,32748
1650,32860,33048,32806
1700,32216,32836,32772
1750,34613,32849,32976
1800,33438,33015,33046
1850,32920,32924,32769
1900,33012,32816,32188
1950,32820,32894,31916
2000,33346,32756,32676
2050,32917,32856,32615
2100,32980,32943,33056
2150,32350,32900,32653
2200,32778,32911,32708
2250,31794,32911,32724
2300,32800,32847,32793
2350,32876,32960,32545
2400,32808,32824,32818
2450,32268,32704,32717
2500,32424,32780,32804
2550,32812,32911,32868
2600,32812,33001,32732
2650,32837,32953,32784
2700,32861,33014,32724
2750,32836,33132,32700
2800,32522,32967,32630
2850,33364,32982,32721
2900,32776,32721,32694
2950,33006,32713,32668
3000,32900,32894,32854
3050,32852,32657,32640
3100,33326,32860,32761
3150,32848,32606,32869
3200,32389,32623,32761
3250,32866,32860,32772
3300,32732,32775,32674
3350,32844,32672,34173
3400,32940,32799,32231
3450,32796,32919,32881
3500,32764,32821,32852
3550,32706,32916,32865
3600,32780,32759,32564
3650,32847,31909,32893
3700,32736,32964,32745
3750,32720,33037,32757
3800,32804,32751,32772
3850,32837,32900,32876
3900,32752,32828,32878
3950,32800,32937,32785
4000,32858,32687,32592
4050,32816,32911,32782
4100,32750,32885,32676
4150,32818,32973,32744
4200,32820,32792,32856
4250,32780,32879,32629
4300,32824,32799,32785
4350,32801,32917,32852
4400,32832,32900,32844
4450,32813,32956,32740
4500,32836,32879,32697
